price,model_year,condition,cylinders,fuel,odometer,transmission,type,paint_color,is_4wd,date_posted,days_listed,brand,car_model
9400,2011,good,6,hybrid,145000.0,automatic,SUV,unknown,1,2018-06-23,19,bmw,x5
5500,2013,like new,4,hybrid,110000.0,automatic,sedan,red,0,2019-02-07,79,hyundai,sonata
14900,2017,excellent,4,hybrid,80903.0,automatic,sedan,black,0,2019-04-02,28,chrysler,200
14990,2014,excellent,6,hybrid,57954.0,automatic,sedan,black,1,2018-06-20,15,chrysler,300
12990,2015,excellent,4,hybrid,79212.0,automatic,sedan,white,0,2018-12-27,73,toyota,camry
15990,2013,excellent,6,hybrid,109473.0,automatic,SUV,black,1,2019-01-07,68,honda,pilot
11500,2012,excellent,4,hybrid,104174.0,automatic,SUV,unknown,1,2018-07-16,19,kia,sorento
19500,2011,excellent,8,hybrid,128413.0,automatic,truck,black,1,2018-09-17,38,chevrolet,silverado 1500
8990,2012,excellent,4,hybrid,111142.0,automatic,sedan,grey,0,2019-03-28,29,honda,accord
18990,2012,excellent,8,hybrid,140742.0,automatic,truck,unknown,1,2019-04-02,37,ram,1500
16500,2018,excellent,4,hybrid,22104.0,automatic,sedan,silver,0,2019-01-14,29,hyundai,sonata
12990,2009,excellent,8,hybrid,132285.0,automatic,SUV,black,1,2019-01-31,24,gmc,yukon
14990,2010,excellent,8,hybrid,130725.0,automatic,truck,red,1,2018-12-30,13,ram,1500
13990,2014,excellent,6,hybrid,100669.0,automatic,SUV,red,1,2018-08-16,25,jeep,cherokee
12500,2013,excellent,6,hybrid,128325.0,automatic,SUV,white,1,2019-04-09,13,chevrolet,traverse
13990,2018,excellent,4,hybrid,31932.0,automatic,sedan,red,0,2018-08-25,27,hyundai,elantra
5250,2007,good,6,hybrid,154000.0,automatic,SUV,unknown,0,2018-08-22,8,toyota,rav4
7500,2004,like new,8,hybrid,180000.0,automatic,truck,red,1,2019-01-05,64,chevrolet,silverado
8499,2014,like new,4,hybrid,79523.0,automatic,sedan,red,0,2018-10-25,23,ford,fusion se
12999,2015,like new,6,hybrid,39368.0,automatic,sedan,custom,0,2018-05-19,42,chevrolet,impala
29800,2012,excellent,8,hybrid,57413.0,automatic,coupe,orange,0,2018-10-22,101,chevrolet,corvette
5000,2009,good,6,hybrid,137273.0,automatic,SUV,white,1,2019-02-19,14,jeep,liberty
11999,2017,excellent,4,hybrid,35721.0,automatic,sedan,unknown,0,2018-09-13,25,toyota,camry le
9499,2015,like new,4,hybrid,51848.0,automatic,sedan,grey,0,2018-11-12,7,nissan,altima
3890,2011,excellent,4,hybrid,300000.0,automatic,SUV,white,1,2018-12-25,31,subaru,outback
9500,2008,good,6,hybrid,149799.0,automatic,SUV,unknown,0,2018-06-04,121,toyota,highlander
14999,2015,good,6,hybrid,63037.0,automatic,sedan,unknown,0,2018-05-11,37,dodge,charger
8000,2009,good,8,hybrid,234000.0,automatic,truck,black,1,2019-03-31,1,ford,f150
11499,2017,like new,4,hybrid,54772.0,automatic,SUV,grey,1,2019-01-12,36,chevrolet,equinox
5100,2008,excellent,4,hybrid,188000.0,automatic,SUV,red,1,2018-11-18,10,honda,crv
4500,2004,good,6,hybrid,168821.0,automatic,SUV,unknown,1,2019-01-31,60,jeep,grand cherokee
2400,2001,good,4,hybrid,277564.0,automatic,coupe,yellow,0,2018-05-27,51,toyota,camry
11200,2015,excellent,6,hybrid,90302.0,automatic,sedan,black,1,2018-07-19,73,dodge,charger
12500,2008,good,6,hybrid,141098.0,automatic,SUV,grey,0,2019-03-10,35,toyota,4runner
9500,2014,excellent,4,hybrid,46000.0,automatic,sedan,unknown,0,2018-10-09,24,ford,focus
3200,2006,excellent,4,hybrid,255390.0,automatic,sedan,blue,0,2018-10-18,23,honda,civic
6200,2006,excellent,6,hybrid,69698.0,automatic,truck,custom,0,2018-05-03,50,ford,f150
3800,2012,good,4,hybrid,130323.0,automatic,sedan,black,0,2018-11-29,261,ford,focus
3300,2011,good,4,hybrid,188963.0,manual,SUV,black,0,2019-02-16,71,kia,soul
10400,2012,excellent,5,hybrid,111871.0,automatic,truck,red,1,2019-01-30,27,chevrolet,colorado
30300,2017,good,6,hybrid,30339.0,automatic,truck,brown,1,2018-07-15,14,ford,f150 supercrew cab xlt
19700,2017,good,6,hybrid,35807.0,other,coupe,unknown,0,2018-05-16,99,chevrolet,camaro lt coupe 2d
4877,2012,excellent,4,hybrid,163261.0,automatic,sedan,white,0,2019-04-18,21,chevrolet,cruze
13000,2005,good,8,hybrid,146000.0,automatic,truck,grey,1,2019-03-14,26,ram,1500
16999,2013,good,8,hybrid,137230.0,automatic,truck,white,1,2018-05-29,24,chevrolet,silverado 1500
10499,2017,good,4,hybrid,53601.0,automatic,sedan,black,0,2019-01-13,48,chevrolet,cruze
15999,2017,good,4,hybrid,17498.0,automatic,sedan,black,0,2018-11-07,54,chevrolet,cruze
14950,2012,excellent,8,hybrid,114773.0,automatic,truck,grey,1,2019-04-09,85,ram,1500
6950,2013,excellent,4,hybrid,158786.0,automatic,sedan,unknown,0,2018-12-24,41,nissan,altima
23300,2018,good,6,hybrid,27493.0,other,truck,unknown,1,2018-10-13,36,nissan,frontier crew cab sv
1900,1994,good,6,hybrid,207.0,automatic,SUV,grey,1,2018-07-27,9,jeep,grand cherokee laredo
3000,2010,like new,4,hybrid,200412.0,automatic,hatchback,silver,0,2018-09-23,33,nissan,versa
4200,2012,like new,4,hybrid,144273.0,automatic,sedan,silver,0,2018-06-11,19,ford,focus
23800,2019,good,6,hybrid,10899.0,other,truck,silver,1,2019-02-28,30,nissan,frontier crew cab sv
16500,2012,good,8,hybrid,123262.0,automatic,truck,silver,1,2018-09-25,47,ford,f250 sd
26900,2014,good,8,hybrid,68607.0,automatic,truck,unknown,1,2018-09-08,10,chevrolet,silverado 1500 crew
5900,2000,good,8,hybrid,202752.0,automatic,truck,red,0,2018-07-08,32,ford,f250 sd
9950,2014,good,8,hybrid,102878.0,automatic,sedan,white,0,2018-06-02,28,dodge,charger
11950,2008,good,8,hybrid,170000.0,automatic,truck,black,1,2019-03-13,38,chevrolet,silverado
4826,2000,like new,8,hybrid,226111.0,automatic,SUV,grey,1,2018-06-30,14,gmc,yukon
9599,2011,good,6,hybrid,100680.0,manual,coupe,silver,0,2018-10-26,18,chevrolet,camaro
18800,2015,good,6,hybrid,33926.0,other,coupe,grey,0,2019-01-16,152,chevrolet,camaro lt coupe 2d
18000,2010,good,8,hybrid,50500.0,automatic,truck,white,1,2018-06-16,11,ram,1500
2800,2010,good,5,hybrid,200800.0,automatic,truck,unknown,0,2018-07-24,10,chevrolet,colorado
2950,2003,good,8,hybrid,230000.0,automatic,truck,unknown,0,2018-05-06,24,chevrolet,silverado
32000,2017,like new,6,hybrid,32104.0,automatic,SUV,white,0,2018-07-12,100,honda,pilot
8995,2012,excellent,4,hybrid,124526.0,automatic,SUV,black,1,2018-12-14,24,toyota,rav4
9995,2017,excellent,4,hybrid,105985.0,automatic,sedan,white,0,2018-05-02,18,hyundai,sonata
24600,2013,good,8,hybrid,22474.0,other,coupe,white,0,2018-10-28,22,ford,mustang gt coupe 2d
6500,2012,excellent,6,hybrid,90000.0,automatic,sedan,grey,0,2018-09-20,94,ford,fusion se
3995,2008,excellent,4,hybrid,165000.0,automatic,SUV,white,1,2018-12-24,19,subaru,forester
39950,2018,excellent,8,hybrid,18500.0,automatic,truck,unknown,1,2018-08-05,16,chevrolet,silverado
26000,2015,good,8,hybrid,92281.0,automatic,truck,white,1,2019-04-02,82,chevrolet,silverado 1500 crew
18700,2017,good,6,hybrid,40002.0,other,truck,white,0,2018-06-01,44,nissan,frontier crew cab sv
5500,2004,good,6,hybrid,140355.0,automatic,SUV,white,1,2018-09-10,35,ford,explorer
22900,2014,good,6,hybrid,73711.0,automatic,truck,white,1,2019-02-27,141,ford,f150 supercrew cab xlt
26700,2015,good,6,hybrid,48278.0,other,truck,brown,1,2018-09-22,64,ford,f150 supercrew cab xlt
